Car(carModel=Town Car, carModelYear=2007, carColor=Orange, carMaker=Lincoln)
Car(carModel=Sierra 1500, carModelYear=2001, carColor=Maroon, carMaker=GMC)
Car(carModel=SRX, carModelYear=1998, carColor=Aquamarine, carMaker=Cadillac)
Car(carModel=Avenger, carModelYear=1999, carColor=Yellow, carMaker=Dodge)
Car(carModel=C-MAX Hybrid, carModelYear=2009, carColor=Red, carMaker=Ford)
Car(carModel=Daewoo Magnus, carModelYear=1998, carColor=Pink, carMaker=Suzuki)
Car(carModel=Grand Prix, carModelYear=1999, carColor=Crimson, carMaker=Pontiac)
Car(carModel=Century, carModelYear=2009, carColor=Goldenrod, carMaker=Buick)
Car(carModel=Swift, carModelYear=2007, carColor=Indigo, carMaker=Suzuki)
Car(carModel=Explorer, carModelYear=2006, carColor=Green, carMaker=Ford)
Car(carModel=QX56, carModelYear=2004, carColor=Puce, carMaker=Infiniti)
Car(carModel=del Sol, carModelYear=2009, carColor=Turquoise, carMaker=Honda)
Car(carModel=XT, carModelYear=2007, carColor=Orange, carMaker=Subaru)
Car(carModel=MPV, carModelYear=2007, carColor=Goldenrod, carMaker=Mazda)
Car(carModel=Ram 50, carModelYear=2007, carColor=Maroon, carMaker=Dodge)
Car(carModel=Elan, carModelYear=2005, carColor=Indigo, carMaker=Lotus)
Car(carModel=Mustang, carModelYear=2003, carColor=Mauv, carMaker=Ford)
Car(carModel=Avalon, carModelYear=2010, carColor=Aquamarine, carMaker=Toyota)
Car(carModel=Continental, carModelYear=2004, carColor=Mauv, carMaker=Lincoln)
Car(carModel=Ram 1500, carModelYear=2008, carColor=Mauv, carMaker=Dodge)
Car(carModel=A5, carModelYear=1998, carColor=Maroon, carMaker=Audi)
Car(carModel=Camaro, carModelYear=2008, carColor=Red, carMaker=Chevrolet)
Car(carModel=Storm, carModelYear=2000, carColor=Purple, carMaker=Geo)
Car(carModel=R-Class, carModelYear=2008, carColor=Crimson, carMaker=Mercedes-Benz)
